stroke_rate,drag_coefficient,turn_time_ms,pool_length_m,lap_time_seconds
38.3,0.1,853.2,34,60.53
66.0,0.0,480.9,25,24.05
62.0,0.0,560.3,36,32.16
56.4,0.1,726.9,45,60.6
47.2,0.1,618.0,31,51.57
45.2,0.1,685.4,39,60.04
69.1,0.1,883.6,48,69.76
32.1,0.1,551.9,35,47.08
45.7,0.1,470.1,46,52.6
39.6,0.0,621.3,28,27.48
68.2,0.1,510.6,28,40.34
62.2,0.0,886.6,41,44.4
79.1,0.1,654.7,36,47.86
70.0,0.1,713.6,33,47.19
64.0,0.0,831.6,44,40.73
41.1,0.1,546.5,42,48.63
77.0,0.0,509.9,26,20.28
61.7,0.1,868.5,29,54.53
75.2,0.1,787.1,31,51.48
75.3,0.0,725.9,27,26.76
47.3,0.0,415.7,46,28.41
59.9,0.1,432.3,31,39.98
65.5,0.0,748.2,47,39.29
74.0,0.1,579.0,44,48.54
57.8,0.1,800.1,28,50.73
